Date,Date,Date.2,Date.1,Close,High,Low,Open,Volume
613,613,614,2022-06-03,0.8679585024468953,0.8765746650490603,0.8721698681996877,0.8801992786086765,0.0792543952491438
614,614,615,2022-06-06,0.8596852690392075,0.858859060531839,0.8681916539999825,0.8620828771080045,0.0426328325001576
615,615,616,2022-06-07,0.8164095063815945,0.8416448733544369,0.8266589726568501,0.845761733513539,0.11701935649734
616,616,617,2022-06-08,0.7449728304109133,0.8180799310382546,0.7572788023661465,0.8180159309334445,0.2747480063555729
617,617,618,2022-06-09,0.7048793636716573,0.70794305731845,0.6813745532786142,0.7135612644754288,0.3978407151477147
618,618,619,2022-06-10,0.6862643840654599,0.7178035434312318,0.6972873323908715,0.6858153752296541,0.2501210909516462
619,619,620,2022-06-14,0.6452159150777166,0.6225405522809988,0.6135855059560171,0.6107381288753082,0.3981928161439566
620,620,621,2022-06-15,0.6359880882993416,0.6344067031612441,0.6374548025742897,0.6237950225271465,0.2465334397274174
621,621,622,2022-06-16,0.6336016048726241,0.6504510062266413,0.6384096030692386,0.6530098350298108,0.2910693571181655
622,622,623,2022-06-17,0.5825297692000668,0.5765803262470579,0.5903525852071931,0.5870724750250491,0.527010315239561
623,623,624,2022-06-20,0.5871439551744544,0.5919563944819017,0.5973543880084811,0.5797282682823612,0.1888685939287591
624,624,625,2022-06-21,0.6208733752473967,0.5973043916057603,0.6062656067051235,0.589194321688141,0.126440367497467
625,625,626,2022-06-22,0.6192825680197185,0.6178612091068381,0.624406460705665,0.6285283704933255,0.1793604274350138
626,626,627,2022-06-23,0.6221463481317795,0.6115103465944642,0.630135049940231,0.6092694340380804,0.1592834726731537
627,627,628,2022-06-24,0.6286697208475411,0.6083350311038618,0.619155265436854,0.6050260629916591,0.1445653511145736
628,628,629,2022-06-27,0.6856278976232684,0.6659939494675702,0.6616424568451043,0.6481135329858465,0.1524029273448891
629,629,630,2022-06-28,0.6824457379975115,0.6743501453433773,0.6877393935926746,0.6807555113173795,0.1281020202739393
630,630,631,2022-06-29,0.673854397661328,0.6609800678253885,0.673895437121887,0.6694942269278719,0.1224441711479566
631,631,632,2022-06-30,0.6321698511091935,0.6427633951842309,0.6444566776259477,0.654805399691436,0.2082212523482647
632,632,633,2022-07-01,0.6372610611837246,0.6277218413111938,0.6417514753777558,0.6314662068662071,0.1486224903281695
633,633,634,2022-07-04,0.6491936146099127,0.6427632649784991,0.6581416407648626,0.6455022627049951,0.105713555462475
634,634,635,2022-07-05,0.6456934843482602,0.6370808680472886,0.6476392114332616,0.633914318731917,0.093419532295909
635,635,636,2022-07-06,0.6579441447029439,0.6436822218973122,0.6433425460024527,0.6257536553669993,0.1491812932039769
636,636,637,2022-07-07,0.6751273705457108,0.6539608763234361,0.6635521702706169,0.6521939311208811,0.1252531213273451
